epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,595.231,1.24765,2.48402,1.37413,0.31079,0.52133,0.37988,0.22502,1.19313,17.9817,1.41697,0.000551457,0.000551457,0.000551457
2,1454.95,1.40772,2.16488,1.47542,0.58311,0.48503,0.47367,0.2426,1.36218,16.9485,1.48557,0.00107972,0.00107972,0.00107972
3,2508.22,1.46102,2.06412,1.51204,0.33996,0.40283,0.28895,0.13191,1.60357,6.2556,1.64257,0.00158048,0.00158048,0.00158048
4,3630.41,1.42119,1.90676,1.47407,0.54726,0.39972,0.42719,0.22544,1.46752,7.07632,1.45517,0.00154323,0.00154323,0.00154323
5,4724.69,1.42221,1.86482,1.47513,0.47014,0.43239,0.40654,0.19218,1.61288,5.32449,1.82395,0.00150197,0.00150197,0.00150197
6,5634.75,1.37003,1.76795,1.4596,0.52171,0.56482,0.51194,0.26178,1.38123,4.05891,1.4099,0.00146071,0.00146071,0.00146071
7,6015.43,1.35578,1.71126,1.45758,0.53324,0.56524,0.54503,0.33277,1.18358,7.25188,1.28089,0.00141945,0.00141945,0.00141945
8,6398.63,1.29879,1.63798,1.39636,0.48259,0.6317,0.52788,0.32403,1.24548,9.9736,1.32927,0.00137819,0.00137819,0.00137819
9,6776.75,1.26483,1.57298,1.37661,0.70345,0.59852,0.6584,0.38957,1.18915,4.27863,1.2741,0.00133693,0.00133693,0.00133693
10,7156.08,1.25222,1.53601,1.36879,0.5904,0.64443,0.62607,0.38952,1.18795,7.38948,1.26431,0.00129568,0.00129568,0.00129568
11,7574.68,1.21889,1.5074,1.36001,0.57333,0.59375,0.61591,0.37115,1.06449,7.46431,1.18164,0.00125442,0.00125442,0.00125442
12,8005.38,1.18922,1.46304,1.33235,0.67729,0.64498,0.67152,0.42208,1.1541,3.14596,1.25153,0.00121316,0.00121316,0.00121316
13,8427.1,1.16236,1.41211,1.3218,0.66547,0.6409,0.65035,0.38656,1.09363,5.42478,1.18734,0.0011719,0.0011719,0.0011719
14,9471.72,1.12646,1.37808,1.29619,0.70409,0.58829,0.65538,0.42924,1.00569,3.52675,1.14313,0.00113064,0.00113064,0.00113064
15,10187.8,1.11932,1.32657,1.29242,0.70408,0.64387,0.69436,0.44707,1.03624,6.01245,1.13234,0.00108938,0.00108938,0.00108938
16,10829.9,1.12712,1.32004,1.28464,0.69364,0.69272,0.72965,0.48816,1.03479,5.14577,1.1451,0.00104813,0.00104813,0.00104813
17,11789.2,1.09121,1.28784,1.28556,0.7401,0.66484,0.72635,0.47978,1.01076,3.83102,1.14519,0.00100687,0.00100687,0.00100687
18,12730.9,1.07747,1.27273,1.27241,0.73037,0.59995,0.6857,0.45181,1.04179,5.86328,1.15391,0.00096561,0.00096561,0.00096561
19,13295.1,1.0697,1.25203,1.25014,0.72189,0.68606,0.71805,0.4846,0.9545,4.75048,1.10525,0.000924352,0.000924352,0.000924352
20,14254.8,0.99593,1.16841,1.21542,0.65927,0.69908,0.72132,0.47499,0.949,4.02874,1.09455,0.000883093,0.000883093,0.000883093
21,15245.7,1.01999,1.17899,1.23763,0.67791,0.71616,0.73234,0.49306,0.89634,6.26847,1.06437,0.000841835,0.000841835,0.000841835
22,16235.4,1.02843,1.17301,1.23548,0.75645,0.64558,0.74383,0.49409,0.95169,3.04866,1.09198,0.000800577,0.000800577,0.000800577
23,17217.7,1.00816,1.14502,1.22494,0.69482,0.70748,0.75648,0.51639,0.91334,4.7235,1.05574,0.000759318,0.000759318,0.000759318
24,17646.4,0.99291,1.13571,1.21598,0.75125,0.70764,0.75504,0.52658,0.88309,3.84907,1.05942,0.00071806,0.00071806,0.00071806
25,18047.9,1.00409,1.09381,1.21663,0.72593,0.69613,0.75254,0.52599,0.86234,3.44716,1.02757,0.000676802,0.000676802,0.000676802
26,18448.6,0.96283,1.06147,1.19202,0.73893,0.6868,0.75381,0.53326,0.8748,3.89048,1.03318,0.000635544,0.000635544,0.000635544
27,18847.5,0.9387,1.05216,1.17777,0.74938,0.73543,0.77098,0.54492,0.86931,4.39323,1.03697,0.000594286,0.000594286,0.000594286
28,19248.4,0.93169,1.02195,1.1805,0.72241,0.71054,0.74478,0.52774,0.87381,5.87012,1.02802,0.000553027,0.000553027,0.000553027
29,19864.2,0.96433,1.03035,1.19647,0.75692,0.71029,0.75037,0.54157,0.84436,3.65102,1.0145,0.000511769,0.000511769,0.000511769
30,20822.6,0.90359,1.00081,1.17478,0.73176,0.72497,0.77658,0.55397,0.83986,2.96065,1.01335,0.000470511,0.000470511,0.000470511
31,21757.5,0.85516,0.89757,1.12687,0.75229,0.72844,0.77405,0.5539,0.86267,3.71947,1.02706,0.000429253,0.000429253,0.000429253
32,22674.3,0.84557,0.83984,1.13202,0.77779,0.68972,0.76348,0.54641,0.83787,4.63783,1.00357,0.000387994,0.000387994,0.000387994
33,23601.2,0.83463,0.78838,1.12412,0.78465,0.72437,0.78689,0.56578,0.85129,2.9727,1.01744,0.000346736,0.000346736,0.000346736
34,24540.9,0.81102,0.76987,1.11263,0.74744,0.71411,0.75859,0.5267,0.90073,2.62037,1.04315,0.000305478,0.000305478,0.000305478
35,25451.6,0.77984,0.72266,1.09449,0.75147,0.73523,0.79152,0.564,0.83265,4.98547,1.01398,0.00026422,0.00026422,0.00026422
36,26357.2,0.76844,0.69606,1.08033,0.7417,0.72633,0.76342,0.55145,0.82304,6.06134,1.00375,0.000222961,0.000222961,0.000222961
37,26850.6,0.75925,0.69488,1.08199,0.77237,0.71846,0.79174,0.57009,0.8449,2.59823,1.014,0.000181703,0.000181703,0.000181703
38,27282.2,0.73367,0.66536,1.07048,0.82194,0.72991,0.80847,0.57948,0.83581,2.03393,1.00799,0.000140445,0.000140445,0.000140445
39,27718.7,0.73655,0.64642,1.06219,0.74887,0.75487,0.79473,0.57734,0.81498,2.85567,0.99099,9.91865e-05,9.91865e-05,9.91865e-05
40,28633.8,0.72772,0.61713,1.06185,0.7769,0.75408,0.79991,0.58164,0.83461,2.51179,1.00278,5.79283e-05,5.79283e-05,5.79283e-05
